,predictor,BIC
269,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc' 'powerc'],311227.68222473335
270,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'coverp' 'powerc'],311289.1340960419
271,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'fleetc'],311341.9560062694
272,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'sportc'],311237.8487474004
273,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'coverp'],311258.8114531874
274,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'powerc'],311244.1774897671
275,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'sportc'],311373.1715196998
276,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'coverp'],311371.5158139259
277,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'powerc'],311366.59006811824
278,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc' 'coverp'],311208.8863604337
279,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc' 'powerc'],311305.48841499677
280,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'coverp' 'powerc'],311332.83540758165
281,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'sportc'],311218.2147187816
282,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'coverp'],311247.2587492835
283,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'powerc'],311223.04627334746
284,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc' 'coverp'],311069.3316117231
285,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc' 'powerc'],311156.7698081672
286,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'coverp' 'powerc'],311207.3232061349
287,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc' 'coverp'],311190.4796390191
288,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc' 'powerc'],311282.5145905869
289,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'coverp' 'powerc'],311314.64997179626
290,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc' 'coverp' 'powerc'],311185.1120131638
291,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc'],311305.0502446143
292,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc'],311196.5773174316
293,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'coverp'],311255.44321979035
294,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'powerc'],311221.1463613071
295,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc'],311332.3943662212
296,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'coverp'],311367.3310562167
297,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'powerc'],311347.06939718087
298,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'coverp'],311203.43354728987
299,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'powerc'],311283.73044309474
300,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'coverp' 'powerc'],311342.31113767193
301,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc'],311168.89105170046
302,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'coverp'],311235.9053434012
303,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'powerc'],311194.27694371185
304,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc' 'coverp'],311052.66407702497
305,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc' 'powerc'],311122.92624628905
306,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'coverp' 'powerc'],311205.9577205017
307,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc' 'coverp'],311171.97769077297
308,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc' 'powerc'],311250.51046218444
309,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'coverp' 'powerc'],311313.76639257214
310,['ageph' 'lat' 'long' 'agecar' 'sexp' 'sportc' 'coverp' 'powerc'],311182.6669263127
311,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'sportc'],311261.52365960943
312,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'coverp'],311283.28049386665
313,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'powerc'],311262.6633983231
314,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc' 'coverp'],311118.2604356971
315,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc' 'powerc'],311203.18711456854
316,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'coverp' 'powerc'],311249.8076122891
317,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc' 'coverp'],311241.98643630923
318,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc' 'powerc'],311333.6014220186
319,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'coverp' 'powerc'],311361.93629537156
320,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'sportc' 'coverp' 'powerc'],311245.07878747385
321,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc' 'coverp'],311094.7913333316
322,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc' 'powerc'],311175.2731062235
323,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'coverp' 'powerc'],311228.32698475476
324,['ageph' 'lat' 'long' 'agecar' 'split' 'sportc' 'coverp' 'powerc'],311096.6273549545
325,['ageph' 'lat' 'long' 'agecar' 'fleetc' 'sportc' 'coverp' 'powerc'],311216.55649132055
326,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'fleetc'],311343.59196902445
327,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'sportc'],311227.9154590771
328,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'coverp'],311285.2957193439
329,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'powerc'],311247.67492329644
330,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc' 'sportc'],311337.4122850174
331,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc' 'coverp'],311381.6157283702
332,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc' 'powerc'],311344.49534960935
333,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'sportc' 'coverp'],311189.1545861051
334,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'sportc' 'powerc'],311278.01261474495
335,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'coverp' 'powerc'],311347.8010176155
336,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc' 'sportc'],311204.0094405624
337,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc' 'coverp'],311274.9374043346
338,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc' 'powerc'],311223.90188484313
339,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'sportc' 'coverp'],311061.0990913719
340,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'sportc' 'powerc'],311151.3626631771
341,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'coverp' 'powerc'],311238.43319271243
342,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'sportc' 'coverp'],311170.55008081015
343,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'sportc' 'powerc'],311253.5802302196
344,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'coverp' 'powerc'],311330.36679412524
345,['ageph' 'lat' 'long' 'usec' 'sexp' 'sportc' 'coverp' 'powerc'],311172.3352580927
346,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc' 'sportc'],311309.33587094577
347,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc' 'coverp'],311320.0587362645
348,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc' 'powerc'],311300.088829306
349,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'sportc' 'coverp'],311126.42869300843
350,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'sportc' 'powerc'],311239.25099099346
351,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'coverp' 'powerc'],311279.3859328477
352,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'sportc' 'coverp'],311239.67945636273
353,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'sportc' 'powerc'],311342.2415111466
354,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'coverp' 'powerc'],311375.1993994436
355,['ageph' 'lat' 'long' 'usec' 'fuelc' 'sportc' 'coverp' 'powerc'],311234.1991160654
356,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'sportc' 'coverp'],311112.3435126609
357,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'sportc' 'powerc'],311217.8191631389
358,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'coverp' 'powerc'],311265.7951056821
359,['ageph' 'lat' 'long' 'usec' 'split' 'sportc' 'coverp' 'powerc'],311108.0852831222
360,['ageph' 'lat' 'long' 'usec' 'fleetc' 'sportc' 'coverp' 'powerc'],311217.3435648037
361,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'],311246.0180795264
362,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp'],311307.59236138116
363,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'powerc'],311262.1901734495
364,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc' 'coverp'],311108.00586722296
365,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc' 'powerc'],311194.5785768252
366,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'coverp' 'powerc'],311279.0044795978
367,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp'],311217.34667457384
368,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc' 'powerc'],311299.39310537174
369,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'coverp' 'powerc'],311373.0280262287
370,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'sportc' 'coverp' 'powerc'],311228.93612934614
371,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc' 'coverp'],311084.4047913587
372,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc' 'powerc'],311165.8725807302
373,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'coverp' 'powerc'],311258.1861881632
374,['ageph' 'lat' 'long' 'sexp' 'split' 'sportc' 'coverp' 'powerc'],311093.45366025955
375,['ageph' 'lat' 'long' 'sexp' 'fleetc' 'sportc' 'coverp' 'powerc'],311199.2741452952
376,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'],311154.60394863854
377,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc' 'powerc'],311257.79630432354
378,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'coverp' 'powerc'],311303.17121183354
379,['ageph' 'lat' 'long' 'fuelc' 'split' 'sportc' 'coverp' 'powerc'],311155.63007792813
380,['ageph' 'lat' 'long' 'fuelc' 'fleetc' 'sportc' 'coverp' 'powerc'],311265.18748485885
381,['ageph' 'lat' 'long' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],311134.66488443076
382,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'fleetc'],311294.9070777321
383,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'sportc'],311178.2851563857
384,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'coverp'],311233.9927434049
385,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'powerc'],311210.8003704571
386,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc' 'sportc'],311312.85769933544
387,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc' 'coverp'],311344.76838151127
388,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc' 'powerc'],311332.97367102734
389,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'sportc' 'coverp'],311168.038765948
390,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'sportc' 'powerc'],311260.2267548691
391,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'coverp' 'powerc'],311313.7706027132
392,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc' 'sportc'],311161.2780336164
393,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc' 'coverp'],311225.51600990095
394,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc' 'powerc'],311191.2844423052
395,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'sportc' 'coverp'],311031.86010431784
396,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'sportc' 'powerc'],311112.1989546268
397,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'coverp' 'powerc'],311191.45578206686
398,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'sportc' 'coverp'],311150.48241919087
399,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'sportc' 'powerc'],311236.829792117
400,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'coverp' 'powerc'],311296.67522109544
401,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'sportc' 'coverp' 'powerc'],311150.607138324
402,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'fleetc' 'sportc'],311247.1579624205
403,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'fleetc' 'coverp'],311267.9689052983
404,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'fleetc' 'powerc'],311254.77188977046
405,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'sportc' 'coverp'],311093.2813072781
406,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'sportc' 'powerc'],311188.55931308435
407,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'coverp' 'powerc'],311232.2920204147
408,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'sportc' 'coverp'],311215.82538502966
409,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'sportc' 'powerc'],311315.3548611211
410,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'coverp' 'powerc'],311341.31003545725
411,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc' 'coverp' 'powerc'],311210.9355811782
412,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'sportc' 'coverp'],311079.2726566139
413,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'sportc' 'powerc'],311167.15783643385
414,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'coverp' 'powerc'],311218.18146758055
415,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc' 'coverp' 'powerc'],311075.2042053413
416,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc' 'coverp' 'powerc'],311193.0358963432
417,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'],311197.8207556391
418,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp'],311255.49066312204
419,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc' 'powerc'],311226.93828712776
420,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc' 'coverp'],311075.840810031
421,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc' 'powerc'],311155.5859060839
422,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'coverp' 'powerc'],311230.1450663728
423,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp'],311197.24209620344
424,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc' 'powerc'],311285.46781797626
425,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'coverp' 'powerc'],311340.3256214672
426,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'coverp' 'powerc'],311207.9294930379
427,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc' 'coverp'],311053.47823085036
428,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc' 'powerc'],311127.48476708896
429,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'coverp' 'powerc'],311209.8038144537
430,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc' 'coverp' 'powerc'],311060.9861060175
431,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fleetc' 'sportc' 'coverp' 'powerc'],311178.2817325779
432,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'],311120.0027149791
433,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'sportc' 'powerc'],311209.10707406246
434,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'fleetc' 'coverp' 'powerc'],311254.9594641067
435,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'split' 'sportc' 'coverp' 'powerc'],311121.8911717031
436,['ageph' 'lat' 'long' 'agecar' 'fuelc' 'fleetc' 'sportc' 'coverp' 'powerc'],311243.042484288
437,['ageph' 'lat' 'long' 'agecar' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],311100.0126568302
438,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc'],311236.6744135865
439,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp'],311292.436487786
440,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'fleetc' 'powerc'],311258.3743439402
441,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'sportc' 'coverp'],311082.757632368
442,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'sportc' 'powerc'],311184.95148918696
443,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'split' 'coverp' 'powerc'],311259.999615536
444,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp'],311193.79615789966
445,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc' 'sportc' 'powerc'],311288.09035210544
446,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'fleetc' 'coverp' 'powerc'],311353.860744342
447,['ageph' 'lat' 'long' 'usec' 'sexp' 'fuelc' 'sportc' 'coverp' 'powerc'],311195.47754690907
448,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc' 'sportc' 'coverp'],311069.5929964135
449,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc' 'sportc' 'powerc'],311161.672334062
450,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'fleetc' 'coverp' 'powerc'],311247.81819423253
451,['ageph' 'lat' 'long' 'usec' 'sexp' 'split' 'sportc' 'coverp' 'powerc'],311071.0225482571
452,['ageph' 'lat' 'long' 'usec' 'sexp' 'fleetc' 'sportc' 'coverp' 'powerc'],311177.84883982077
453,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'],311135.90139176126
454,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc' 'sportc' 'powerc'],311250.45868053514
455,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'fleetc' 'coverp' 'powerc'],311289.9036142091
456,['ageph' 'lat' 'long' 'usec' 'fuelc' 'split' 'sportc' 'coverp' 'powerc'],311131.4729673071
457,['ageph' 'lat' 'long' 'usec' 'fuelc' 'fleetc' 'sportc' 'coverp' 'powerc'],311241.350089077
458,['ageph' 'lat' 'long' 'usec' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],311118.3572565602
459,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp'],311107.22412299505
460,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'sportc' 'powerc'],311201.0055298259
461,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'fleetc' 'coverp' 'powerc'],311281.27902359335
462,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'split' 'sportc' 'coverp' 'powerc'],311115.8596076528
463,['ageph' 'lat' 'long' 'sexp' 'fuelc' 'fleetc' 'sportc' 'coverp' 'powerc'],311223.2638153649
464,['ageph' 'lat' 'long' 'sexp' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],311094.0182390134
465,['ageph' 'lat' 'long' 'fuelc' 'split' 'fleetc' 'sportc' 'coverp' 'powerc'],311158.5550166562
466,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'fleetc'
 'sportc']",311187.250785758
467,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'fleetc'
 'coverp']",311242.7022505057
468,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'fleetc'
 'powerc']",311221.11008364405
469,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'sportc'
 'coverp']",311053.8954038817
470,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'sportc'
 'powerc']",311142.7657409032
471,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'split' 'coverp'
 'powerc']",311214.15426375397
472,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc' 'sportc'
 'coverp']",311174.5319304856
473,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc' 'sportc'
 'powerc']",311269.6886887475
474,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'fleetc' 'coverp'
 'powerc']",311321.6809335366
475,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fuelc' 'sportc' 'coverp'
 'powerc']",311175.8813227598
476,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc' 'sportc'
 'coverp']",311041.3706793796
477,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc' 'sportc'
 'powerc']",311122.25719500857
478,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'fleetc' 'coverp'
 'powerc']",311201.8579727852
479,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'split' 'sportc' 'coverp'
 'powerc']",311042.17784807837
480,"['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'fleetc' 'sportc' 'coverp'
 'powerc']",311157.91231936985
